# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
   14.789579158   -0.485237815   -0.485238854   -0.485240769
   14.849699399   -0.541161403   -0.541162346   -0.541163632
   14.909819639   -0.618828080   -0.618828304   -0.618829539
   14.969939880   -0.602626423   -0.602625987   -0.602628617
   15.030060120   -0.572810784   -0.572810137   -0.572813505
   15.090180361   -0.563782184   -0.563781891   -0.563784231
   15.150300601   -0.602601027   -0.602602149   -0.602602426
   15.210420842   -0.652631853   -0.652633193   -0.652633874
   15.270541082   -0.654655163   -0.654655591   -0.654658385
   15.330661323   -0.628562265   -0.628563075   -0.628565586
   15.390781563   -0.596245955   -0.596247468   -0.596248399
   15.450901804   -0.570778681   -0.570779716   -0.570780208
   15.511022044   -0.540471283   -0.540471936   -0.540472489
   15.571142285   -0.521884386   -0.521884934   -0.521886009
   15.631262525   -0.532059414   -0.532059307   -0.532061708
   15.691382766   -0.555500986   -0.555499836   -0.555504030
   15.751503006   -0.563302231   -0.563301095   -0.563305683
   15.811623246   -0.545074922   -0.545074829   -0.545077651
   15.871743487   -0.502478397   -0.502478590   -0.502480924
   15.931863727   -0.461201547   -0.461201738   -0.461204128
   15.991983968   -0.419458755   -0.419458808   -0.419461416
   16.052104208   -0.376125617   -0.376125540   -0.376128213
   16.112224449   -0.340052930   -0.340052847   -0.340055583
   16.172344689   -0.321656224   -0.321656240   -0.321658799
   16.232464930   -0.318075590   -0.318074989   -0.318078429
   16.292585170   -0.343578855   -0.343577876   -0.343581109
   16.352705411   -0.382936430   -0.382936217   -0.382937924
   16.412825651   -0.378142729   -0.378143333   -0.378144196
   16.472945892   -0.344512793   -0.344513599   -0.344514410
   16.533066132   -0.305708107   -0.305708912   -0.305709951
