# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   11.362725451    0.723972813    0.723970215    0.723973068
   11.422845691    0.807114119    0.807109124    0.807116822
   11.482965932    0.877048343    0.877044948    0.877049195
   11.543086172    0.775531883    0.775532956    0.775527473
   11.603206413    0.632555031    0.632555626    0.632551994
   11.663326653    0.629840592    0.629839920    0.629839428
   11.723446894    0.645808540    0.645807105    0.645808578
   11.783567134    0.576638147    0.576638018    0.576637777
   11.843687375    0.477808137    0.477809267    0.477806729
   11.903807615    0.433667071    0.433667078    0.433666515
   11.963927856    0.467171431    0.467170480    0.467171747
   12.024048096    0.528171218    0.528171503    0.528170599
   12.084168337    0.507915274    0.507915741    0.507913940
   12.144288577    0.494906118    0.494904871    0.494905537
   12.204408818    0.509600141    0.509597669    0.509600073
   12.264529058    0.475682365    0.475679726    0.475682638
   12.324649299    0.493541426    0.493539514    0.493540737
   12.384769539    0.532282192    0.532282077    0.532279726
   12.444889780    0.562961290    0.562961641    0.562959692
   12.505010020    0.528011524    0.528013249    0.528009421
   12.565130261    0.496748845    0.496750384    0.496746815
   12.625250501    0.476770707    0.476769636    0.476771137
   12.685370741    0.431003561    0.431001094    0.431006509
   12.745490982    0.360078785    0.360077806    0.360080759
   12.805611222    0.302963569    0.302963505    0.302964545
   12.865731463    0.290653649    0.290653700    0.290654066
   12.925851703    0.312360546    0.312361021    0.312359859
   12.985971944    0.369801552    0.369802620    0.369799924
   13.046092184    0.417052649    0.417053229    0.417052200
   13.106212425    0.391978832    0.391978610    0.391980223
   13.166332665    0.411210410    0.411210469    0.411211555
   13.226452906    0.478983304    0.478984340    0.478983772
   13.286573146    0.458262903    0.458263220    0.458263925
   13.346693387    0.398829773    0.398829868    0.398830976
   13.406813627    0.368763393    0.368763672    0.368763916
   13.466933868    0.371778773    0.371778852    0.371778986
   13.527054108    0.372239862    0.372239291    0.372240670
   13.587174349    0.351848466    0.351847551    0.351849407
   13.647294589    0.317110533    0.317110011    0.317110808
   13.707414830    0.299771029    0.299771126    0.299770322
   13.767535070    0.288903268    0.288903188    0.288902921
   13.827655311    0.284836165    0.284835647    0.284837095
   13.887775551    0.261564046    0.261563635    0.261565567
   13.947895792    0.247576291    0.247576029    0.247576949
   14.008016032    0.247836305    0.247835844    0.247836469
   14.068136273    0.267475974    0.267475465    0.267475858
